iteration,Number of sentence,Number of Error sentence,Number of Skip  sentence,Number of Valid sentence,Bracketing Recall,Bracketing Precision,Bracketing FMeasure,Complete match,Average crossing,No crossing,2 or less crossing,Tagging accuracy
11760,2245,0,28,2217,68.00,66.38,67.18,7.80,3.27,31.17,53.86,100.00
11761,2245,0,26,2219,68.06,66.47,67.25,7.80,3.26,31.05,53.90,100.00
11762,2245,0,26,2219,68.09,66.51,67.29,7.80,3.25,31.14,53.99,100.00
11763,2245,0,26,2219,68.08,66.50,67.28,7.84,3.26,31.23,54.08,100.00
11764,2245,0,26,2219,68.09,66.57,67.32,7.89,3.24,31.46,54.03,100.00
11765,2245,0,26,2219,68.13,66.60,67.36,7.84,3.24,31.32,53.99,100.00
11766,2245,0,26,2219,68.10,66.59,67.34,7.84,3.24,31.41,53.94,100.00
11767,2245,0,26,2219,68.10,66.60,67.34,7.84,3.24,31.37,53.85,100.00
11768,2245,0,26,2219,68.07,66.61,67.33,7.84,3.25,31.19,53.99,100.00
11769,2245,0,26,2219,68.08,66.65,67.36,7.84,3.24,31.23,54.12,100.00
11770,2245,0,26,2219,68.15,66.74,67.44,8.07,3.24,31.23,54.35,100.00
11771,2245,0,26,2219,68.28,66.96,67.61,8.20,3.22,31.37,54.30,100.00
11772,2245,0,26,2219,68.19,66.94,67.56,8.29,3.24,31.28,54.08,100.00
11773,2245,0,26,2219,68.23,66.98,67.60,8.38,3.23,31.37,54.35,100.00
11774,2245,0,26,2219,68.30,67.06,67.68,8.38,3.21,31.68,54.71,100.00
11775,2245,0,26,2219,68.38,67.17,67.77,8.43,3.20,31.64,54.98,100.00
11776,2245,0,26,2219,68.42,67.22,67.81,8.38,3.20,31.50,55.16,100.00
11777,2245,0,26,2219,68.53,67.35,67.93,8.43,3.19,31.68,55.43,100.00
11778,2245,0,26,2219,68.72,67.57,68.14,8.47,3.15,31.91,55.75,100.00
11779,2245,0,26,2219,68.86,67.73,68.29,8.61,3.14,31.86,55.66,100.00
11780,2245,0,26,2219,68.77,67.68,68.22,8.70,3.14,31.59,55.61,100.00
11781,2245,0,26,2219,68.82,67.74,68.28,8.79,3.13,31.73,55.61,100.00
11782,2245,0,26,2219,68.87,67.80,68.33,8.74,3.13,31.77,55.79,100.00
11783,2245,0,26,2219,69.04,67.98,68.50,8.74,3.11,31.95,55.88,100.00
11784,2245,0,26,2219,69.04,68.00,68.51,8.74,3.10,31.82,55.93,100.00
11785,2245,0,26,2219,68.99,67.97,68.47,8.74,3.11,31.73,56.06,100.00
11786,2245,0,26,2219,69.07,68.16,68.61,8.56,3.09,31.68,56.38,100.00
11787,2245,0,26,2219,69.10,68.22,68.65,8.56,3.10,31.59,56.24,100.00
11788,2245,0,26,2219,69.12,68.26,68.69,8.52,3.09,31.73,56.51,100.00
11789,2245,0,26,2219,69.19,68.33,68.76,8.56,3.08,31.95,56.42,100.00
11790,2245,0,25,2220,69.30,68.52,68.90,8.74,3.05,32.30,56.89,100.00
11791,2245,0,25,2220,69.22,68.47,68.84,8.65,3.05,32.16,56.62,100.00
11792,2245,0,25,2220,69.41,68.84,69.12,9.05,3.01,33.11,57.21,100.00
11793,2245,0,25,2220,69.46,68.91,69.18,8.92,2.98,33.15,57.52,100.00
11794,2245,0,25,2220,69.58,69.13,69.35,9.05,2.96,33.24,57.52,100.00
11795,2245,0,25,2220,69.45,69.05,69.25,9.10,2.98,33.02,57.66,100.00
11796,2245,0,25,2220,69.52,69.28,69.40,9.23,2.95,32.93,57.97,100.00
11797,2245,0,25,2220,69.76,70.08,69.92,9.55,2.87,33.87,58.15,100.00
11798,2245,0,23,2222,69.80,70.21,70.00,9.63,2.86,33.71,58.51,100.00
11799,2245,0,23,2222,70.29,71.13,70.71,10.58,2.79,34.97,59.18,100.00
11800,2245,0,23,2222,70.35,71.21,70.78,10.53,2.77,34.97,59.41,100.00
11801,2245,0,23,2222,70.50,71.45,70.97,10.85,2.75,35.46,59.36,100.00
11802,2245,0,22,2223,70.38,71.53,70.95,10.84,2.75,35.31,59.42,100.00
11803,2245,0,22,2223,70.49,71.63,71.06,10.84,2.74,35.72,59.65,100.00
11804,2245,0,22,2223,70.21,71.49,70.85,10.71,2.77,34.55,59.15,100.00
11805,2245,0,21,2224,69.69,71.08,70.38,10.70,2.83,33.95,58.59,100.00
11806,2245,0,21,2224,69.16,70.56,69.85,10.66,2.90,33.36,57.96,100.00
11807,2245,0,18,2227,68.30,70.33,69.30,9.83,2.92,31.16,56.85,100.00
11808,2245,0,17,2228,68.12,70.43,69.25,10.01,2.95,32.59,56.69,100.00
